"variablename","producttype","release_year","profile","category","_order","base","unittype","notinprofile","infltnfctr10to16"
"DfHsUS","ACS","2006-2010, 2013-2017","Social","Residence 1 Year Ago",,"DfHs2","basic","NA",
"DfHsSmCnt","ACS","2006-2010, 2013-2017","Social","Residence 1 Year Ago",,"DfHs2","basic","NA",
"DfHsDfCnt","ACS","2006-2010, 2013-2017","Social","Residence 1 Year Ago",,"DfHs2","basic","NA",
"DHDfCntNYC","ACS","2006-2010, 2013-2017","Social","Residence 1 Year Ago",,"DfHs2","basic","NA",
"DHnoNYC","ACS","2006-2010, 2013-2017","Social","Residence 1 Year Ago",,"DfHs2","basic","NA",
"Abroad","ACS","2006-2010, 2013-2017","Social","Residence 1 Year Ago",,"DfHs2","basic","NA",
"Pop_4","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Pop_4","basic","NA",
"Ntv","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Pop_4","basic","NA",
"NtvUS","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Pop_4","basic","NA",
"NtvNYS","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Pop_4","basic","NA",
"NtvNotNYS","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Pop_4","basic","NA",
"NtvPRUSAb","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Pop_4","basic","NA",
"Fb1","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Pop_4","basic","NA",
"Fb2","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Eur","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"NEur","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"UntdKgdm","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"UKnoEngSc","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Eng","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Scot","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Ireland","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Denmark","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Norway","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Sweden","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"ONEur","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"WEur","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Austria","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Belgium","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"France","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Germany","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Nthrlds","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Switzrld","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"OWEur","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"SEur","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Greece","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Italy","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Portugal","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Spain","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"OSEur","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"EEur","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Albania","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Belarus","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Bulgaria","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Croatia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Czchslv","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Hungary","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Latvia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Lthuania","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Mcdonia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Moldova","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Poland","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Romania","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Russia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Ukraine","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"BosniaH","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Serbia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"OEEur","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"EurNEC","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Asia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"EAsia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"China","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"ChNoHKTwn","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"HongKong","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Taiwan","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Japan","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Korea","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"OEAsia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"SCAsia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Afghan","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Bngldsh","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"India","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Iran","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Kzkhstan","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Nepal","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Pakistan","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"SriLanka","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Uzbkstan","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"OSCAsia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"SEAsia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Cambodia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Indnsia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Laos","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Malaysia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Burma","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Philipns","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Sngapore","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Thailand","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Vietnam","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"OSEAsia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"WAsia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Iraq","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Israel","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Jordan","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Kuwait","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Lebanon","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"SaudiAr","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Syria","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Yemen","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Turkey","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Armenia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"OWAsia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"AsiaNEC","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Afr","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"EAfr","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Eritrea","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Ethiopia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Kenya","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"OEAfr","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"MAfr","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Cameroon","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"OMAfr","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"NAfr","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Egypt","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Morocco","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Sudan","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"ONAfr","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"SthrnAfr","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"SthAfrca","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"OSthrnAfr","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"WAfr","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"CaboVerd","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Ghana","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Liberia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Nigeria","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"SierraL","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"OWAfr","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"AfrNEC","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Oceania","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"AusNZSbR","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Austrlia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"OAusNZSbR","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Fiji","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"OcniaNEC","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Amricas","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"LAm","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Carib","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Bahamas","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Barbados","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Cuba","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Dominica","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"DomRep","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Grenada","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Haiti","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Jamaica","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"StVGren","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"TrAndTob","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"WIndies","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"OCarib","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"CAm","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Mexico","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Belize","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"CstaRica","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"ElSlvdr","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Guatmala","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Honduras","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Nicargua","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Panama","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"OCAm","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"SAm","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Argntina","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Bolivia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Brazil","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Chile","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Colombia","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Ecuador","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Guyana","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Peru","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Uruguay","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Vnzuela","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"OSAm","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"NAm","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Canada","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"ONAm","ACS","2006-2010, 2013-2017","Social","Place of Birth",,"Fb2","basic","NA",
"Fb3","ACS","2006-2010, 2013-2017","Social","U.S. Citizenship Status",,"Fb3","basic","NA",
"FbNtlzd","ACS","2006-2010, 2013-2017","Social","U.S. Citizenship Status",,"Fb3","basic","NA",
"FbNotCzn","ACS","2006-2010, 2013-2017","Social","U.S. Citizenship Status",,"Fb3","basic","NA",
"Fb4","ACS","2013-2017","Social","Year of Entry",,"Fb4","basic","NA",
"Fb2000Ltr","ACS","2013-2017","Social","Year of Entry",,"Fb4","basic","NA",
"Pop5pl1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl1","basic","NA",
"EngOnly1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl1","basic","NA",
"LgOEng1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl1","basic","NA",
"LgOEnLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl1","basic","NA",
"LgSp1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgSp1","basic","NA",
"LgSpLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgSp1","basic","NA",
"LgFr1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgFr1","basic","NA",
"LgFrLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgFr1","basic","NA",
"LgFrCr1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgFrCr1","basic","NA",
"LgFrCLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgFrCr1","basic","NA",
"LgIt1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgIt1","basic","NA",
"LgItLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgIt1","basic","NA",
"LgPrt1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgPrt1","basic","NA",
"LgPrtLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgPrt1","basic","NA",
"LgGrm1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgGrm1","basic","NA",
"LgGrmLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgGrm1","basic","NA",
"LgYid1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgYid1","basic","NA",
"LgYidLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgYid1","basic","NA",
"LgOWG1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgOWG1","basic","NA",
"LgOWGLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgOWG1","basic","NA",
"LgScd1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgScd1","basic","NA",
"LgScdLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgScd1","basic","NA",
"LgGrk1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgGrk1","basic","NA",
"LgGrkLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgGrk1","basic","NA",
"LgRus1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgRus1","basic","NA",
"LgRusLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgRus1","basic","NA",
"LgPol1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgPol1","basic","NA",
"LgPolLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgPol1","basic","NA",
"LgSCr1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgSCr1","basic","NA",
"LgSCrLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgSCr1","basic","NA",
"LgOSlv1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgOSlv1","basic","NA",
"LgOSvLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgOSlv1","basic","NA",
"LgArm1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgArm1","basic","NA",
"LgArmLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgArm1","basic","NA",
"LgPrs1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgPrs1","basic","NA",
"LgPrsLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgPrs1","basic","NA",
"LgGuj1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgGuj1","basic","NA",
"LgGujLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgGuj1","basic","NA",
"LgHdi1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgHdi1","basic","NA",
"LgHdiLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgHdi1","basic","NA",
"LgUrd1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgUrd1","basic","NA",
"LgUrdLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgUrd1","basic","NA",
"LgOInd1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgOInd1","basic","NA",
"LgOInLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgOInd1","basic","NA",
"LgOIEu1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgOIEu1","basic","NA",
"LgOIELEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgOIEu1","basic","NA",
"LgChi1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgChi1","basic","NA",
"LgChiLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgChi1","basic","NA",
"LgJap1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgJap1","basic","NA",
"LgJapLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgJap1","basic","NA",
"LgKor1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgKor1","basic","NA",
"LgKorLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgKor1","basic","NA",
"LgMKhm1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgMKhm1","basic","NA",
"LgMKmLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgMKhm1","basic","NA",
"LgHmg1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgHmg1","basic","NA",
"LgHmgLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgHmg1","basic","NA",
"LgThai1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgThai1","basic","NA",
"LgThaLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgThai1","basic","NA",
"LgLao1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgLao1","basic","NA",
"LgLaoLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgLao1","basic","NA",
"LgViet1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgViet1","basic","NA",
"LgVieLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgViet1","basic","NA",
"LgOAsn1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgOAsn1","basic","NA",
"LgOAnLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgOAsn1","basic","NA",
"LgTag1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgTag1","basic","NA",
"LgTagLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgTag1","basic","NA",
"LgOPI1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgOPI1","basic","NA",
"LgOPILEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgOPI1","basic","NA",
"LgNav1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgNav1","basic","NA",
"LgNavLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgNav1","basic","NA",
"LgONNA1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgONNA1","basic","NA",
"LgONALEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgONNA1","basic","NA",
"LgHung1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgHung1","basic","NA",
"LgHngLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgHung1","basic","NA",
"LgArab1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgArab1","basic","NA",
"LgArbLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgArab1","basic","NA",
"LgHeb1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgHeb1","basic","NA",
"LgHebLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgHeb1","basic","NA",
"LgAfr1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgAfr1","basic","NA",
"LgAfrLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgAfr1","basic","NA",
"LgOLg1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgOLg1","basic","NA",
"LgOLgLEP1","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"LgOLg1","basic","NA",
"Pop5pl2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
"EngOnly2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
"LgOEng2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
"LgSp2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
"LgFr2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
"LgFrCr2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
"LgIt2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
"LgPrt2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
"LgGrm2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
"LgYid2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
"LgOWG2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
"LgScd2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
"LgGrk2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
"LgRus2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
"LgPol2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
"LgSCr2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
"LgOSlv2","ACS","2006-2010, 2013-2017","Social","Language Spoken at Home",,"Pop5pl2","basic","NA",
